Date,mkt_return_monthly,rf_1month,rf_annualized
2023-01-31,0.005416266952270821,0.00257,0.031279679
2023-02-28,0.03804465700348114,0.00248,0.030169301
2023-03-31,-0.03815725105519907,0.00282,0.034369824
2023-04-28,0.027539228194697563,0.00287,0.03498887
2023-05-31,-0.02274869025527626,0.003,0.03659998
2023-06-30,0.012999111875206193,0.00334,0.040824529
2023-07-31,0.025376452671612704,0.0035,0.042818007
2023-08-31,0.008570699890483535,0.00362,0.044315412
2023-09-29,0.028185740153365613,0.00374,0.045814788
2023-10-31,-0.007722732769845142,0.0037,0.045314777
2023-11-30,0.017845142935336344,0.0037200000000000002,0.045564755
2023-12-29,0.002093735971505639,0.00383,0.046940615
